frame number,number of droplets,network area,average network int,average droplet int,droplet density
0.0,13.0,72.45977900000001,596.4253713666972,1685.353218210361,0.1794098764778181
1.0,12.0,72.46938300000001,614.1956154573706,1742.0119047619046,0.16558716941194324
2.0,15.0,71.79950400000001,637.8219131149788,1756.7319727891156,0.20891509222682092
3.0,9.0,72.289308,629.628934420705,1709.1541950113378,0.1244997392975459
4.0,11.0,72.29170900000001,622.5714189143514,1535.1873840445269,0.15216129418105193
5.0,6.0,72.01319300000002,624.1119340178421,1707.3163265306123,0.08331806645485083
6.0,6.0,72.05160900000001,621.5699485351004,1540.2687074829932,0.08327364347963415
7.0,9.0,72.19566900000001,646.370015518521,1577.4761904761906,0.1246612175586322
8.0,3.0,72.10203000000001,686.4276201311739,1721.5442176870747,0.04160770508125776
9.0,3.0,71.986782,684.553291325915,1717.2448979591836,0.04167431737676508
10.0,5.0,72.356536,652.703692554686,1378.848979591837,0.06910225774213404
11.0,2.0,72.21967900000001,633.0315189113468,1948.8061224489795,0.027693282879310496
12.0,3.0,71.93155900000001,635.8706561116329,1360.1632653061224,0.041706311411935336
13.0,5.0,72.13084200000002,659.8459215515217,1525.4853556485355,0.06931847544494212
14.0,2.0,72.21247600000001,670.1172526519448,1766.8673469387754,0.027696045209694785
15.0,2.0,72.474185,664.0240627492689,1430.316326530612,0.02759603298746995
16.0,3.0,71.96277200000002,682.4914333612741,1630.156462585034,0.041688221793346136
17.0,1.0,71.90995000000001,700.5019062270082,1661.9591836734692,0.013906281397775966
18.0,1.0,71.47777,698.5458735659254,1618.9183673469386,0.013990363717278811
19.0,2.0,71.633835,707.1090676797902,1364.9387755102039,0.027919767244068392
20.0,1.0,71.81631100000001,696.3218363861635,1928.3673469387754,0.013924413355066369
21.0,1.0,71.511384,694.1002791135622,1528.2448979591836,0.013983787532345898
22.0,1.0,71.55220100000001,687.4076028502285,1531.5918367346937,0.01397581047157445
23.0,2.0,71.763489,650.2659171001845,1524.4897959183672,0.027869325026825268
24.0,1.0,72.743097,623.0781869875694,1380.0816326530612,0.013747008874257855
25.0,2.0,72.72388900000001,632.2040539197827,1253.112244897959,0.027501279531406794
26.0,3.0,71.87633600000001,663.5566408216695,1412.795918367347,0.041738354609505965
27.0,1.0,71.561805,668.4001881973384,1569.5306122448978,0.01397393483856367
28.0,1.0,71.432151,693.084837058982,1792.1020408163263,0.01399929843915802
29.0,1.0,72.121238,666.7253417805936,1723.3877551020407,0.013865541243204948
